MAA FLAVOURS - PICKLE COST SHEET TEMPLATE
HOW TO USE: Enter your cost in Rs. in the white cells. Change TARGET MARGIN % in row 5.
In Excel - select the TOTAL COST row and type =SUM() over the column to auto-add.
,,,
TARGET MARGIN %,40,,
,,,
,,,
==================================================,,,
PICKLE 1 - DRUMSTICK PICKLE,,,
==================================================,,,
COST HEAD,250g (Rs.),500g (Rs.),NOTES
,,,
INGREDIENTS,,,
Main Ingredient - Drumstick Pieces,,, Per batch ÷ units made
Groundnut Oil,,,
Spices & Masala (Chilli + Mustard + Fenugreek + Asafoetida + Tamarind),,,
,,,
PRODUCTION,,,
Labour Cost,,, Time spent × hourly rate ÷ units
Gas / Fuel,,, Cooking gas per batch ÷ units
,,,
PACKAGING,,,
Container / Pouch,,,
Lid / Seal,,,
Label (Printed),,,
Bubble Wrap,,,
Corrugated Box,,, Box cost ÷ units per box
Tape & Misc,,,
,,,
SHIPROCKET,,,
Forward Shipping Fee,,, Check Shiprocket rate card
COD Handling Fee,,, Only for COD orders
RTO Provision,,, 5-10% of orders returned
GST on Shipping (18%),,,
,,,
OTHER FEES,,,
Payment Gateway - Cashfree ~2%,,,
Marketing / Ads,,,
,,,
TOTAL COST PRICE (Rs.),0,0, =SUM of all rows above
SUGGESTED SELL PRICE (Rs.),0,0, = Cost ÷ (1 - Margin%)
PROFIT PER UNIT (Rs.),0,0, = Sell Price - Cost Price
MARGIN %,0%,0%,
,,,
,,,
==================================================,,,
PICKLE 2 - AAVAKAAYA (Raw Mango Pickle),,,
==================================================,,,
COST HEAD,250g (Rs.),500g (Rs.),NOTES
,,,
INGREDIENTS,,,
Main Ingredient - Raw Mango,,,
Groundnut Oil,,,
Spices & Masala (Chilli + Mustard Powder + Fenugreek + Salt),,,
,,,
PRODUCTION,,,
Labour Cost,,,
Gas / Fuel,,,
,,,
PACKAGING,,,
Container / Pouch,,,
Lid / Seal,,,
Label (Printed),,,
Bubble Wrap,,,
Corrugated Box,,,
Tape & Misc,,,
,,,
SHIPROCKET,,,
Forward Shipping Fee,,,
COD Handling Fee,,,
RTO Provision,,,
GST on Shipping (18%),,,
,,,
OTHER FEES,,,
Payment Gateway - Cashfree ~2%,,,
Marketing / Ads,,,
,,,
TOTAL COST PRICE (Rs.),0,0,
SUGGESTED SELL PRICE (Rs.),0,0,
PROFIT PER UNIT (Rs.),0,0,
MARGIN %,0%,0%,
,,,
,,,
==================================================,,,
PICKLE 3 - MANGO GINGER PICKLE,,,
==================================================,,,
COST HEAD,250g (Rs.),500g (Rs.),NOTES
,,,
INGREDIENTS,,,
Main Ingredient - Mango Ginger (Curcuma amada),,,
Groundnut Oil,,,
Spices & Masala (Chilli + Jaggery + Tamarind + Salt),,,
,,,
PRODUCTION,,,
Labour Cost,,,
Gas / Fuel,,,
,,,
PACKAGING,,,
Container / Pouch,,,
Lid / Seal,,,
Label (Printed),,,
Bubble Wrap,,,
Corrugated Box,,,
Tape & Misc,,,
,,,
SHIPROCKET,,,
Forward Shipping Fee,,,
COD Handling Fee,,,
RTO Provision,,,
GST on Shipping (18%),,,
,,,
OTHER FEES,,,
Payment Gateway - Cashfree ~2%,,,
Marketing / Ads,,,
,,,
